t0.0,t0.05,t0.1,t0.15,t0.2,t0.25,t0.3,t0.35,t0.4,t0.45,t0.5,t0.55,t0.6,t0.65
"(0.0,0.02,1.0)","(2.01,-0.08,0.99)","(4.03,0.07,0.95)","(6.04,0.02,0.89)","(8.06,-0.0,0.8)","(10.07,-0.07,0.69)","(12.09,0.08,0.56)","(14.1,0.0,0.4)","(16.12,-0.05,0.22)","(18.13,-0.05,0.01)","(20.15,-0.0,0)",,,
"(0.0,0.05,1.0)","(1.74,0.02,0.99)","(3.47,0.05,0.95)","(5.21,-0.01,0.89)","(6.95,-0.04,0.8)","(8.69,-0.06,0.69)","(10.42,-0.09,0.56)","(12.16,-0.03,0.4)","(13.9,0.07,0.22)","(15.64,-0.09,0.01)","(17.37,-0.06,0)","(19.11,-0.07,0)","(20.85,-0.1,0)",
"(0.0,0.05,1.0)","(1.9,-0.06,0.99)","(3.79,0.07,0.95)","(5.69,0.04,0.89)","(7.59,-0.08,0.8)","(9.49,-0.04,0.69)","(11.38,0.08,0.56)","(13.28,0.01,0.4)","(15.18,-0.06,0.22)","(17.07,0.01,0.01)","(18.97,0.08,0)","(20.87,0.0,0)",,
"(0.0,0.1,1.0)","(1.87,0.07,0.99)","(3.74,0.05,0.95)","(5.61,0.06,0.89)","(7.48,0.03,0.8)","(9.35,0.1,0.69)","(11.22,-0.05,0.56)","(13.09,0.0,0.4)","(14.96,-0.02,0.22)","(16.84,-0.08,0.01)","(18.71,0.02,0)","(20.58,0.01,0)",,
"(0.0,0.05,1.0)","(1.97,-0.1,0.99)","(3.94,0.02,0.95)","(5.91,-0.06,0.89)","(7.88,-0.08,0.8)","(9.85,-0.09,0.69)","(11.82,0.02,0.56)","(13.79,-0.06,0.4)","(15.77,-0.1,0.22)","(17.74,0.09,0.01)","(19.71,0.04,0)","(21.68,-0.04,0)",,
"(0.0,0.02,1.0)","(1.91,-0.1,0.99)","(3.82,0.03,0.95)","(5.72,-0.08,0.89)","(7.63,-0.0,0.8)","(9.54,-0.08,0.69)","(11.45,0.08,0.56)","(13.36,-0.09,0.4)","(15.26,-0.07,0.22)","(17.17,0.1,0.01)","(19.08,-0.03,0)","(20.99,0.06,0)",,
"(0.0,-0.01,1.0)","(1.74,-0.07,0.99)","(3.48,-0.07,0.95)","(5.23,0.05,0.89)","(6.97,0.04,0.8)","(8.71,0.06,0.69)","(10.45,0.08,0.56)","(12.19,0.03,0.4)","(13.93,-0.1,0.22)","(15.68,0.04,0.01)","(17.42,-0.05,0)","(19.16,0.08,0)","(20.9,-0.0,0)",
"(0.0,-0.07,1.0)","(1.95,0.1,0.99)","(3.89,-0.09,0.95)","(5.84,-0.03,0.89)","(7.78,0.07,0.8)","(9.73,-0.02,0.69)","(11.68,0.01,0.56)","(13.62,-0.07,0.4)","(15.57,0.01,0.22)","(17.51,0.07,0.01)","(19.46,0.04,0)","(21.41,-0.04,0)",,
"(0.0,0.08,1.0)","(1.71,0.03,0.99)","(3.41,0.07,0.95)","(5.12,0.09,0.89)","(6.82,0.06,0.8)","(8.53,0.04,0.69)","(10.24,0.06,0.56)","(11.94,0.06,0.4)","(13.65,0.01,0.22)","(15.36,0.0,0.01)","(17.06,-0.02,0)","(18.77,0.08,0)","(20.47,-0.08,0)",
"(0.0,0.08,1.0)","(1.85,0.09,0.99)","(3.7,0.02,0.95)","(5.55,-0.04,0.89)","(7.39,-0.07,0.8)","(9.24,-0.05,0.69)","(11.09,0.09,0.56)","(12.94,-0.07,0.4)","(14.79,0.05,0.22)","(16.64,0.07,0.01)","(18.49,-0.06,0)","(20.33,0.05,0)",,
"(0.0,0.07,1.0)","(1.82,0.08,0.99)","(3.64,-0.03,0.95)","(5.46,-0.07,0.89)","(7.28,-0.09,0.8)","(9.09,0.02,0.69)","(10.91,-0.07,0.56)","(12.73,-0.1,0.4)","(14.55,-0.06,0.22)","(16.37,-0.05,0.01)","(18.19,-0.03,0)","(20.01,-0.07,0)","(21.83,0.0,0)",
"(0.0,-0.03,1.0)","(1.8,-0.07,0.99)","(3.6,0.06,0.95)","(5.4,-0.09,0.89)","(7.21,0.04,0.8)","(9.01,0.06,0.69)","(10.81,0.03,0.56)","(12.61,-0.02,0.4)","(14.41,0.08,0.22)","(16.21,-0.02,0.01)","(18.01,-0.04,0)","(19.81,-0.07,0)","(21.62,0.08,0)",
"(0.0,-0.0,1.0)","(2.03,0.05,0.99)","(4.06,0.05,0.95)","(6.09,-0.0,0.89)","(8.12,0.05,0.8)","(10.15,0.05,0.69)","(12.19,-0.02,0.56)","(14.22,-0.07,0.4)","(16.25,-0.06,0.22)","(18.28,0.09,0.01)","(20.31,0.09,0)",,,
"(0.0,-0.02,1.0)","(2.04,-0.08,0.99)","(4.09,0.01,0.95)","(6.13,-0.0,0.89)","(8.18,0.05,0.8)","(10.22,-0.01,0.69)","(12.26,-0.04,0.56)","(14.31,-0.07,0.4)","(16.35,-0.02,0.22)","(18.4,-0.02,0.01)","(20.44,-0.04,0)",,,
"(0.0,0.09,1.0)","(1.81,-0.09,0.99)","(3.61,-0.07,0.95)","(5.42,-0.09,0.89)","(7.23,-0.09,0.8)","(9.03,-0.05,0.69)","(10.84,0.08,0.56)","(12.65,-0.03,0.4)","(14.45,0.03,0.22)","(16.26,0.02,0.01)","(18.07,-0.0,0)","(19.87,-0.06,0)","(21.68,-0.02,0)",
"(0.0,-0.06,1.0)","(1.74,-0.09,0.99)","(3.48,0.03,0.95)","(5.22,-0.02,0.89)","(6.96,0.09,0.8)","(8.7,-0.0,0.69)","(10.44,0.03,0.56)","(12.18,0.0,0.4)","(13.92,-0.06,0.22)","(15.67,0.02,0.01)","(17.41,-0.05,0)","(19.15,0.07,0)","(20.89,0.09,0)",
"(0.0,0.08,1.0)","(1.76,-0.06,0.99)","(3.51,0.09,0.95)","(5.27,0.04,0.89)","(7.02,-0.05,0.8)","(8.78,0.09,0.69)","(10.54,0.1,0.56)","(12.29,-0.03,0.4)","(14.05,0.06,0.22)","(15.8,0.07,0.01)","(17.56,-0.04,0)","(19.31,0.08,0)","(21.07,-0.05,0)",
"(0.0,0.08,1.0)","(1.69,0.02,0.99)","(3.39,0.01,0.95)","(5.08,-0.03,0.89)","(6.77,-0.01,0.8)","(8.46,0.09,0.69)","(10.16,0.08,0.56)","(11.85,-0.1,0.4)","(13.54,-0.07,0.22)","(15.24,-0.07,0.01)","(16.93,-0.03,0)","(18.62,0.06,0)","(20.31,0.08,0)",
"(0.0,0.05,1.0)","(1.74,0.04,0.99)","(3.49,-0.03,0.95)","(5.23,-0.02,0.89)","(6.97,-0.1,0.8)","(8.72,0.01,0.69)","(10.46,-0.06,0.56)","(12.2,0.04,0.4)","(13.95,-0.01,0.22)","(15.69,0.02,0.01)","(17.43,0.06,0)","(19.18,-0.09,0)","(20.92,0.01,0)",
"(0.0,0.07,1.0)","(1.85,0.02,0.99)","(3.7,-0.0,0.95)","(5.56,-0.01,0.89)","(7.41,-0.01,0.8)","(9.26,-0.08,0.69)","(11.11,-0.03,0.56)","(12.96,-0.06,0.4)","(14.82,0.02,0.22)","(16.67,-0.08,0.01)","(18.52,-0.05,0)","(20.37,-0.09,0)",,
"(0.0,0.08,1.0)","(2.07,-0.01,0.99)","(4.13,-0.06,0.95)","(6.2,0.07,0.89)","(8.26,0.04,0.8)","(10.33,-0.0,0.69)","(12.39,-0.06,0.56)","(14.46,-0.09,0.4)","(16.53,0.0,0.22)","(18.59,0.01,0.01)","(20.66,0.03,0)",,,
"(0.0,0.01,1.0)","(1.79,-0.01,0.99)","(3.59,0.06,0.95)","(5.38,0.04,0.89)","(7.17,0.04,0.8)","(8.96,-0.04,0.69)","(10.76,-0.01,0.56)","(12.55,0.07,0.4)","(14.34,-0.06,0.22)","(16.13,0.02,0.01)","(17.93,-0.05,0)","(19.72,0.03,0)","(21.51,0.08,0)",
"(0.0,0.09,1.0)","(2.02,-0.1,0.99)","(4.04,-0.05,0.95)","(6.06,-0.05,0.89)","(8.09,-0.05,0.8)","(10.11,-0.09,0.69)","(12.13,0.1,0.56)","(14.15,-0.07,0.4)","(16.17,0.02,0.22)","(18.19,0.06,0.01)","(20.22,-0.09,0)",,,
"(0.0,-0.09,1.0)","(1.71,0.09,0.99)","(3.42,-0.04,0.95)","(5.12,-0.01,0.89)","(6.83,-0.01,0.8)","(8.54,-0.06,0.69)","(10.25,0.03,0.56)","(11.96,0.01,0.4)","(13.66,0.09,0.22)","(15.37,-0.02,0.01)","(17.08,-0.06,0)","(18.79,-0.01,0)","(20.5,0.07,0)",
"(0.0,0.07,1.0)","(1.91,0.01,0.99)","(3.82,-0.08,0.95)","(5.73,0.08,0.89)","(7.64,-0.06,0.8)","(9.55,0.02,0.69)","(11.46,-0.0,0.56)","(13.37,-0.01,0.4)","(15.28,0.04,0.22)","(17.19,0.01,0.01)","(19.1,0.1,0)","(21.01,-0.06,0)",,
"(0.0,0.05,1.0)","(1.8,0.03,0.99)","(3.61,0.02,0.95)","(5.41,0.01,0.89)","(7.21,0.08,0.8)","(9.01,0.08,0.69)","(10.82,0.06,0.56)","(12.62,0.09,0.4)","(14.42,0.09,0.22)","(16.23,0.06,0.01)","(18.03,-0.05,0)","(19.83,0.01,0)","(21.64,0.03,0)",
"(0.0,0.07,1.0)","(2.05,0.07,0.99)","(4.1,-0.08,0.95)","(6.16,0.1,0.89)","(8.21,0.03,0.8)","(10.26,0.02,0.69)","(12.31,0.08,0.56)","(14.36,0.01,0.4)","(16.42,0.02,0.22)","(18.47,0.08,0.01)","(20.52,0.05,0)",,,
"(0.0,0.02,1.0)","(2.0,-0.02,0.99)","(4.01,-0.05,0.95)","(6.01,0.06,0.89)","(8.01,0.08,0.8)","(10.01,0.05,0.69)","(12.02,-0.07,0.56)","(14.02,0.04,0.4)","(16.02,0.0,0.22)","(18.02,-0.0,0.01)","(20.03,0.04,0)","(22.03,-0.04,0)",,
"(0.0,0.05,1.0)","(1.75,0.03,0.99)","(3.5,0.06,0.95)","(5.25,0.0,0.89)","(7.0,0.02,0.8)","(8.75,-0.05,0.69)","(10.5,-0.1,0.56)","(12.24,-0.07,0.4)","(13.99,-0.01,0.22)","(15.74,0.03,0.01)","(17.49,-0.05,0)","(19.24,-0.09,0)","(20.99,-0.03,0)",
"(0.0,-0.0,1.0)","(1.78,0.06,0.99)","(3.56,-0.02,0.95)","(5.35,-0.01,0.89)","(7.13,-0.07,0.8)","(8.91,-0.02,0.69)","(10.69,0.08,0.56)","(12.48,-0.01,0.4)","(14.26,-0.01,0.22)","(16.04,0.01,0.01)","(17.82,-0.08,0)","(19.6,0.0,0)","(21.39,-0.09,0)",
"(0.0,-0.08,1.0)","(2.06,-0.07,0.99)","(4.13,-0.02,0.95)","(6.19,0.06,0.89)","(8.25,-0.06,0.8)","(10.32,-0.08,0.69)","(12.38,-0.09,0.56)","(14.45,-0.04,0.4)","(16.51,0.02,0.22)","(18.57,-0.04,0.01)","(20.64,-0.1,0)",,,
"(0.0,-0.06,1.0)","(1.8,0.03,0.99)","(3.61,0.03,0.95)","(5.41,-0.01,0.89)","(7.22,-0.04,0.8)","(9.02,0.09,0.69)","(10.83,0.04,0.56)","(12.63,0.07,0.4)","(14.44,-0.08,0.22)","(16.24,-0.07,0.01)","(18.05,-0.03,0)","(19.85,-0.01,0)","(21.66,-0.01,0)",
"(0.0,0.08,1.0)","(1.96,-0.09,0.99)","(3.93,-0.07,0.95)","(5.89,-0.06,0.89)","(7.86,-0.08,0.8)","(9.82,-0.1,0.69)","(11.79,0.08,0.56)","(13.75,-0.05,0.4)","(15.72,0.03,0.22)","(17.68,-0.08,0.01)","(19.64,0.07,0)","(21.61,0.07,0)",,
"(0.0,-0.1,1.0)","(1.98,-0.03,0.99)","(3.96,0.02,0.95)","(5.94,-0.05,0.89)","(7.92,-0.07,0.8)","(9.9,0.04,0.69)","(11.88,-0.05,0.56)","(13.87,0.0,0.4)","(15.85,-0.07,0.22)","(17.83,0.01,0.01)","(19.81,0.03,0)","(21.79,0.07,0)",,
"(0.0,-0.06,1.0)","(1.78,0.02,0.99)","(3.56,0.08,0.95)","(5.33,0.03,0.89)","(7.11,-0.08,0.8)","(8.89,-0.08,0.69)","(10.67,-0.07,0.56)","(12.45,-0.05,0.4)","(14.22,-0.05,0.22)","(16.0,-0.0,0.01)","(17.78,0.07,0)","(19.56,-0.05,0)","(21.33,-0.03,0)",
"(0.0,0.06,1.0)","(1.93,0.09,0.99)","(3.87,0.03,0.95)","(5.8,-0.04,0.89)","(7.73,-0.0,0.8)","(9.66,-0.09,0.69)","(11.6,-0.09,0.56)","(13.53,0.01,0.4)","(15.46,0.08,0.22)","(17.39,-0.06,0.01)","(19.33,-0.09,0)","(21.26,-0.1,0)",,
"(0.0,-0.05,1.0)","(1.97,0.05,0.99)","(3.93,0.0,0.95)","(5.9,-0.01,0.89)","(7.87,-0.07,0.8)","(9.83,0.03,0.69)","(11.8,-0.02,0.56)","(13.77,0.0,0.4)","(15.73,-0.09,0.22)","(17.7,-0.01,0.01)","(19.67,-0.07,0)","(21.63,-0.09,0)",,
"(0.0,0.1,1.0)","(1.76,0.04,0.99)","(3.51,-0.06,0.95)","(5.27,-0.06,0.89)","(7.02,0.1,0.8)","(8.78,0.09,0.69)","(10.54,0.07,0.56)","(12.29,-0.03,0.4)","(14.05,0.08,0.22)","(15.8,-0.08,0.01)","(17.56,0.06,0)","(19.32,0.02,0)","(21.07,0.0,0)",
"(0.0,-0.08,1.0)","(2.03,-0.04,0.99)","(4.06,0.04,0.95)","(6.1,-0.01,0.89)","(8.13,-0.09,0.8)","(10.16,0.07,0.69)","(12.19,-0.02,0.56)","(14.22,-0.09,0.4)","(16.25,-0.09,0.22)","(18.29,0.05,0.01)","(20.32,-0.01,0)",,,
"(0.0,0.07,1.0)","(1.91,-0.05,0.99)","(3.83,0.06,0.95)","(5.74,-0.07,0.89)","(7.66,0.09,0.8)","(9.57,-0.07,0.69)","(11.49,0.0,0.56)","(13.4,-0.03,0.4)","(15.31,-0.04,0.22)","(17.23,-0.05,0.01)","(19.14,0.03,0)","(21.06,-0.01,0)",,
"(0.0,-0.1,1.0)","(1.87,-0.04,0.99)","(3.74,0.01,0.95)","(5.6,-0.01,0.89)","(7.47,-0.02,0.8)","(9.34,0.0,0.69)","(11.21,-0.03,0.56)","(13.07,0.0,0.4)","(14.94,-0.09,0.22)","(16.81,-0.02,0.01)","(18.68,0.02,0)","(20.54,-0.1,0)",,
"(0.0,0.02,1.0)","(1.85,-0.09,0.99)","(3.7,-0.01,0.95)","(5.56,-0.05,0.89)","(7.41,0.02,0.8)","(9.26,-0.07,0.69)","(11.11,0.05,0.56)","(12.97,-0.02,0.4)","(14.82,0.04,0.22)","(16.67,-0.02,0.01)","(18.52,-0.04,0)","(20.38,-0.03,0)",,
"(0.0,-0.08,1.0)","(1.99,0.03,0.99)","(3.99,0.04,0.95)","(5.98,0.08,0.89)","(7.98,-0.08,0.8)","(9.97,-0.05,0.69)","(11.96,0.01,0.56)","(13.96,0.08,0.4)","(15.95,0.01,0.22)","(17.95,-0.03,0.01)","(19.94,-0.02,0)","(21.93,-0.06,0)",,
"(0.0,-0.07,1.0)","(1.77,0.07,0.99)","(3.54,-0.03,0.95)","(5.31,0.03,0.89)","(7.08,0.05,0.8)","(8.86,0.05,0.69)","(10.63,-0.05,0.56)","(12.4,0.05,0.4)","(14.17,-0.1,0.22)","(15.94,-0.03,0.01)","(17.71,-0.02,0)","(19.48,0.05,0)","(21.25,-0.05,0)",
"(0.0,-0.1,1.0)","(1.74,-0.07,0.99)","(3.48,0.0,0.95)","(5.23,-0.05,0.89)","(6.97,0.03,0.8)","(8.71,-0.01,0.69)","(10.45,-0.08,0.56)","(12.19,-0.07,0.4)","(13.93,-0.03,0.22)","(15.68,-0.03,0.01)","(17.42,0.09,0)","(19.16,0.04,0)","(20.9,0.0,0)",
"(0.0,0.03,1.0)","(1.77,-0.01,0.99)","(3.53,-0.0,0.95)","(5.3,-0.05,0.89)","(7.07,-0.04,0.8)","(8.83,-0.05,0.69)","(10.6,0.08,0.56)","(12.37,-0.03,0.4)","(14.13,0.02,0.22)","(15.9,0.08,0.01)","(17.67,0.08,0)","(19.43,0.05,0)","(21.2,-0.04,0)",
"(0.0,-0.04,1.0)","(1.93,0.07,0.99)","(3.86,-0.08,0.95)","(5.79,0.08,0.89)","(7.72,-0.05,0.8)","(9.65,0.07,0.69)","(11.58,0.09,0.56)","(13.51,-0.05,0.4)","(15.44,-0.08,0.22)","(17.37,-0.05,0.01)","(19.3,-0.01,0)","(21.23,-0.09,0)",,
"(0.0,0.06,1.0)","(1.68,-0.03,0.99)","(3.37,0.0,0.95)","(5.05,0.07,0.89)","(6.74,-0.01,0.8)","(8.42,0.07,0.69)","(10.11,0.07,0.56)","(11.79,-0.09,0.4)","(13.48,-0.09,0.22)","(15.16,0.01,0.01)","(16.84,0.04,0)","(18.53,0.04,0)","(20.21,0.1,0)",
"(0.0,-0.02,1.0)","(1.94,0.0,0.99)","(3.87,0.07,0.95)","(5.81,-0.1,0.89)","(7.75,0.03,0.8)","(9.68,0.02,0.69)","(11.62,0.02,0.56)","(13.56,-0.01,0.4)","(15.49,0.06,0.22)","(17.43,0.08,0.01)","(19.37,-0.07,0)","(21.3,-0.05,0)",,
"(0.0,-0.03,1.0)","(1.87,0.03,0.99)","(3.75,0.03,0.95)","(5.62,0.08,0.89)","(7.49,-0.08,0.8)","(9.36,0.04,0.69)","(11.24,0.08,0.56)","(13.11,0.01,0.4)","(14.98,-0.05,0.22)","(16.86,0.05,0.01)","(18.73,0.02,0)","(20.6,-0.06,0)",,
"(0.0,0.09,1.0)","(1.71,0.05,0.99)","(3.41,0.06,0.95)","(5.12,0.09,0.89)","(6.82,0.03,0.8)","(8.53,0.02,0.69)","(10.23,-0.09,0.56)","(11.94,-0.02,0.4)","(13.65,-0.02,0.22)","(15.35,0.02,0.01)","(17.06,-0.01,0)","(18.76,-0.05,0)","(20.47,0.04,0)",
"(0.0,0.05,1.0)","(1.71,0.08,0.99)","(3.43,0.09,0.95)","(5.14,-0.09,0.89)","(6.86,-0.08,0.8)","(8.57,-0.04,0.69)","(10.29,0.08,0.56)","(12.0,-0.03,0.4)","(13.72,-0.05,0.22)","(15.43,0.0,0.01)","(17.15,0.05,0)","(18.86,0.0,0)","(20.58,-0.0,0)",
"(0.0,-0.03,1.0)","(2.0,0.05,0.99)","(4.0,0.1,0.95)","(6.0,-0.09,0.89)","(7.99,0.06,0.8)","(9.99,-0.02,0.69)","(11.99,-0.02,0.56)","(13.99,-0.06,0.4)","(15.99,-0.02,0.22)","(17.99,0.1,0.01)","(19.99,-0.01,0)","(21.99,0.07,0)",,
"(0.0,0.09,1.0)","(1.78,0.02,0.99)","(3.55,-0.09,0.95)","(5.33,-0.0,0.89)","(7.1,0.0,0.8)","(8.88,-0.03,0.69)","(10.65,-0.07,0.56)","(12.43,0.1,0.4)","(14.2,-0.04,0.22)","(15.98,0.09,0.01)","(17.75,0.1,0)","(19.53,-0.04,0)","(21.3,-0.04,0)",
"(0.0,-0.1,1.0)","(1.77,0.01,0.99)","(3.54,0.01,0.95)","(5.31,-0.07,0.89)","(7.09,0.01,0.8)","(8.86,0.06,0.69)","(10.63,-0.09,0.56)","(12.4,0.03,0.4)","(14.17,0.04,0.22)","(15.94,-0.03,0.01)","(17.71,0.1,0)","(19.48,0.06,0)","(21.26,-0.09,0)",
"(0.0,0.08,1.0)","(1.96,-0.07,0.99)","(3.93,0.03,0.95)","(5.89,-0.1,0.89)","(7.85,0.03,0.8)","(9.82,-0.03,0.69)","(11.78,-0.02,0.56)","(13.74,0.03,0.4)","(15.71,0.04,0.22)","(17.67,0.06,0.01)","(19.63,0.1,0)","(21.6,-0.08,0)",,
"(0.0,-0.01,1.0)","(1.82,-0.08,0.99)","(3.65,-0.06,0.95)","(5.47,-0.01,0.89)","(7.3,-0.02,0.8)","(9.12,0.06,0.69)","(10.95,0.07,0.56)","(12.77,0.01,0.4)","(14.6,0.02,0.22)","(16.42,-0.05,0.01)","(18.25,0.02,0)","(20.07,0.06,0)","(21.9,-0.05,0)",
"(0.0,0.08,1.0)","(1.95,0.01,0.99)","(3.9,0.03,0.95)","(5.85,0.1,0.89)","(7.79,0.08,0.8)","(9.74,-0.04,0.69)","(11.69,-0.08,0.56)","(13.64,-0.02,0.4)","(15.59,0.09,0.22)","(17.54,0.04,0.01)","(19.49,-0.01,0)","(21.43,-0.02,0)",,
"(0.0,0.01,1.0)","(1.73,-0.03,0.99)","(3.46,-0.05,0.95)","(5.19,0.01,0.89)","(6.92,0.02,0.8)","(8.65,0.01,0.69)","(10.38,0.08,0.56)","(12.12,0.07,0.4)","(13.85,0.0,0.22)","(15.58,0.09,0.01)","(17.31,-0.03,0)","(19.04,-0.03,0)","(20.77,-0.04,0)",
"(0.0,-0.08,1.0)","(2.0,-0.02,0.99)","(3.99,-0.06,0.95)","(5.99,-0.04,0.89)","(7.98,-0.06,0.8)","(9.98,-0.02,0.69)","(11.98,0.02,0.56)","(13.97,0.08,0.4)","(15.97,-0.08,0.22)","(17.96,-0.06,0.01)","(19.96,-0.02,0)","(21.95,0.04,0)",,
"(0.0,0.09,1.0)","(2.03,-0.08,0.99)","(4.06,-0.07,0.95)","(6.09,-0.0,0.89)","(8.12,-0.01,0.8)","(10.15,0.03,0.69)","(12.18,0.07,0.56)","(14.21,-0.0,0.4)","(16.24,-0.05,0.22)","(18.26,0.03,0.01)","(20.29,0.02,0)",,,
"(0.0,0.04,1.0)","(1.73,-0.05,0.99)","(3.45,0.06,0.95)","(5.18,-0.02,0.89)","(6.91,0.07,0.8)","(8.63,-0.06,0.69)","(10.36,-0.03,0.56)","(12.09,-0.04,0.4)","(13.82,-0.04,0.22)","(15.54,0.0,0.01)","(17.27,0.01,0)","(19.0,-0.05,0)","(20.72,0.02,0)",
"(0.0,-0.01,1.0)","(2.02,0.05,0.99)","(4.04,0.01,0.95)","(6.05,0.06,0.89)","(8.07,-0.04,0.8)","(10.09,0.08,0.69)","(12.11,0.01,0.56)","(14.13,0.01,0.4)","(16.15,-0.01,0.22)","(18.16,-0.0,0.01)","(20.18,0.09,0)",,,
"(0.0,0.06,1.0)","(2.0,0.07,0.99)","(4.0,-0.01,0.95)","(6.0,0.03,0.89)","(8.0,-0.05,0.8)","(10.01,0.07,0.69)","(12.01,-0.05,0.56)","(14.01,0.05,0.4)","(16.01,-0.04,0.22)","(18.01,0.09,0.01)","(20.01,-0.04,0)","(22.01,0.04,0)",,
"(0.0,-0.07,1.0)","(1.99,0.04,0.99)","(3.97,0.0,0.95)","(5.96,-0.07,0.89)","(7.94,0.06,0.8)","(9.93,-0.03,0.69)","(11.91,0.03,0.56)","(13.9,-0.09,0.4)","(15.88,-0.03,0.22)","(17.87,0.05,0.01)","(19.85,0.04,0)","(21.84,-0.03,0)",,
"(0.0,0.01,1.0)","(1.78,-0.05,0.99)","(3.57,-0.08,0.95)","(5.35,0.05,0.89)","(7.14,-0.08,0.8)","(8.92,-0.06,0.69)","(10.7,0.03,0.56)","(12.49,0.09,0.4)","(14.27,-0.04,0.22)","(16.05,-0.01,0.01)","(17.84,-0.01,0)","(19.62,0.08,0)","(21.41,-0.02,0)",
"(0.0,-0.01,1.0)","(2.07,0.05,0.99)","(4.15,0.07,0.95)","(6.22,-0.1,0.89)","(8.29,0.06,0.8)","(10.36,0.04,0.69)","(12.44,-0.1,0.56)","(14.51,0.06,0.4)","(16.58,-0.02,0.22)","(18.65,-0.03,0.01)","(20.73,0.06,0)",,,
"(0.0,0.03,1.0)","(2.02,-0.02,0.99)","(4.05,-0.08,0.95)","(6.07,0.09,0.89)","(8.1,-0.08,0.8)","(10.12,-0.02,0.69)","(12.14,0.02,0.56)","(14.17,0.01,0.4)","(16.19,-0.06,0.22)","(18.21,0.03,0.01)","(20.24,0.04,0)",,,
"(0.0,0.04,1.0)","(1.91,0.08,0.99)","(3.82,-0.08,0.95)","(5.73,0.06,0.89)","(7.65,-0.03,0.8)","(9.56,0.06,0.69)","(11.47,-0.08,0.56)","(13.38,0.0,0.4)","(15.29,0.04,0.22)","(17.2,-0.08,0.01)","(19.11,0.1,0)","(21.03,-0.07,0)",,
"(0.0,0.04,1.0)","(1.74,0.05,0.99)","(3.48,0.02,0.95)","(5.22,-0.02,0.89)","(6.96,-0.04,0.8)","(8.7,0.06,0.69)","(10.44,0.06,0.56)","(12.18,0.03,0.4)","(13.92,-0.04,0.22)","(15.66,0.01,0.01)","(17.4,0.1,0)","(19.14,0.0,0)","(20.89,-0.03,0)",
"(0.0,0.07,1.0)","(1.85,0.06,0.99)","(3.71,-0.07,0.95)","(5.56,-0.02,0.89)","(7.42,-0.02,0.8)","(9.27,-0.03,0.69)","(11.13,-0.01,0.56)","(12.98,-0.08,0.4)","(14.84,0.04,0.22)","(16.69,-0.05,0.01)","(18.55,0.07,0)","(20.4,0.05,0)",,
"(0.0,-0.1,1.0)","(1.7,-0.07,0.99)","(3.4,-0.02,0.95)","(5.11,-0.07,0.89)","(6.81,-0.1,0.8)","(8.51,0.07,0.69)","(10.21,0.02,0.56)","(11.91,-0.01,0.4)","(13.62,-0.04,0.22)","(15.32,0.08,0.01)","(17.02,-0.04,0)","(18.72,-0.06,0)","(20.42,-0.07,0)",
"(0.0,0.05,1.0)","(1.84,0.05,0.99)","(3.69,0.08,0.95)","(5.53,-0.08,0.89)","(7.37,-0.04,0.8)","(9.22,-0.0,0.69)","(11.06,-0.0,0.56)","(12.9,0.01,0.4)","(14.75,0.1,0.22)","(16.59,0.01,0.01)","(18.43,-0.01,0)","(20.28,0.05,0)",,
"(0.0,0.09,1.0)","(1.81,0.03,0.99)","(3.63,-0.01,0.95)","(5.44,0.02,0.89)","(7.26,0.08,0.8)","(9.07,-0.05,0.69)","(10.89,0.06,0.56)","(12.7,0.06,0.4)","(14.52,0.02,0.22)","(16.33,0.03,0.01)","(18.15,-0.03,0)","(19.96,0.02,0)","(21.78,0.0,0)",
"(0.0,-0.06,1.0)","(1.72,-0.02,0.99)","(3.45,0.05,0.95)","(5.17,-0.02,0.89)","(6.89,0.06,0.8)","(8.61,0.01,0.69)","(10.34,0.02,0.56)","(12.06,-0.03,0.4)","(13.78,-0.01,0.22)","(15.51,-0.03,0.01)","(17.23,0.0,0)","(18.95,0.09,0)","(20.67,0.03,0)",
"(0.0,-0.05,1.0)","(1.99,0.02,0.99)","(3.99,0.08,0.95)","(5.98,-0.09,0.89)","(7.98,0.02,0.8)","(9.97,0.05,0.69)","(11.97,-0.08,0.56)","(13.96,-0.03,0.4)","(15.96,0.02,0.22)","(17.95,-0.08,0.01)","(19.95,-0.01,0)","(21.94,-0.09,0)",,
"(0.0,-0.0,1.0)","(1.79,0.05,0.99)","(3.57,0.03,0.95)","(5.36,-0.06,0.89)","(7.15,-0.08,0.8)","(8.94,0.09,0.69)","(10.72,0.04,0.56)","(12.51,-0.04,0.4)","(14.3,0.04,0.22)","(16.08,0.05,0.01)","(17.87,0.1,0)","(19.66,-0.09,0)","(21.45,0.08,0)",
"(0.0,-0.07,1.0)","(1.75,0.02,0.99)","(3.5,-0.09,0.95)","(5.25,-0.05,0.89)","(6.99,-0.04,0.8)","(8.74,0.05,0.69)","(10.49,0.08,0.56)","(12.24,0.09,0.4)","(13.99,-0.01,0.22)","(15.74,0.03,0.01)","(17.49,-0.06,0)","(19.23,0.05,0)","(20.98,0.08,0)",
